id;tên sách_x;tác giả;quốc gia;năm sáng tác;thể loại;tên sách_y;link Wikipedia;link hình ảnh
64;Harry Potter và Hội Phượng Hoàng;J.K. Rowling;Anh;2003;Giả tưởng / Hành động;Harry Potter and the Order of the Phoenix;https://en.wikipedia.org/wiki/Harry_Potter_and_the_Order_of_the_Phoenix;https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Harry_Potter_and_the_Order_of_the_Phoenix.jpg/250px-Harry_Potter_and_the_Order_of_the_Phoenix.jpg
65;Harry Potter và Hoàng tử lai;J.K. Rowling;Anh;2005;Giả tưởng / Bí ẩn;Harry Potter and the Half-Blood Prince;https://en.wikipedia.org/wiki/Harry_Potter_and_the_Half-Blood_Prince;https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/Harry_Potter_and_the_Half-Blood_Prince_cover.png/250px-Harry_Potter_and_the_Half-Blood_Prince_cover.png
66;Harry Potter và Bảo bối Tử thần;J.K. Rowling;Anh;2007;Giả tưởng / Phiêu lưu;Harry Potter and the Deathly Hallows;https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows;https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Harry_Potter_and_the_Deathly_Hallows.jpg/250px-Harry_Potter_and_the_Deathly_Hallows.jpg
67;The Innovators;Walter Isaacson;Mỹ;2014;Khoa học / Công nghệ;The Innovators;https://en.wikipedia.org/wiki/The_Innovators_(book);https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Innovators_book_cover.jpg/250px-Innovators_book_cover.jpg
68;Steve Jobs;Walter Isaacson;Mỹ;2011;Tiểu sử / Công nghệ;Steve Jobs;https://en.wikipedia.org/wiki/Steve_Jobs_(book);https://upload.wikimedia.org/wikipedia/en/e/e4/Steve_Jobs_by_Walter_Isaacson.jpg
69;Elon Musk;Ashlee Vance;Mỹ;2015;Tiểu sử / Công nghệ;Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future;https://en.wikipedia.org/wiki/Elon_Musk:_Tesla,_SpaceX,_and_the_Quest_for_a_Fantastic_Future;https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/Elon_Musk_-_Tesla%2C_SpaceX%2C_and_the_Quest_for_a_Fantastic_Future.jpg/250px-Elon_Musk_-_Tesla%2C_SpaceX%2C_and_the_Quest_for_a_Fantastic_Future.jpg
70;Homo Deus: Lược sử tương lai;Yuval Noah Harari;Israel;2016;Khoa học / Tương lai học;Homo Deus: A Brief History of Tomorrow;https://en.wikipedia.org/wiki/Homo_Deus:_A_Brief_History_of_Tomorrow;https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Homo_Deus.jpg/250px-Homo_Deus.jpg
71;Cánh đồng bất tận;Nguyễn Ngọc Tư;Việt Nam;2005;Tập truyện ngắn;Cánh đồng bất tận;https://vi.wikipedia.org/wiki/Cánh_đồng_bất_tận;https://upload.wikimedia.org/wikipedia/vi/thumb/0/01/Canh-dong-bat-tan.jpg/250px-Canh-dong-bat-tan.jpg
72;The Code Book;Simon Singh;Anh;1999;Khoa học / Mật mã học;The Code Book;https://en.wikipedia.org/wiki/The_Code_Book;https://upload.wikimedia.org/wikipedia/en/thumb/0/06/The_Code_Book.jpg/250px-The_Code_Book.jpg
73;Programming Languages: Application and Interpretation; Shriram Krishnamurthi;Mỹ;2003;Công nghệ / Lập trình;Programming Languages: Application and Interpretation;https://en.wikipedia.org/wiki/Programming_Languages:_Application_and_Interpretation;https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/PLAI-cover.jpg/250px-PLAI-cover.jpg
